episode,reward,total_burned,epsilon,steps,q_table_size
1,-456.0,496,0.995,33,16
2,-334.0,386,0.99,34,32
3,-402.0,454,0.9851,30,45
4,-429.0,483,0.9801,26,59
5,-344.0,392,0.9752,39,75
6,-364.0,406,0.9704,25,89
7,-452.0,506,0.9655,25,96
8,-410.0,460,0.9607,26,104
9,-510.0,564,0.9559,29,112
10,-200.0,230,0.9511,21,121
11,-428.0,468,0.9464,30,132
12,-316.0,346,0.9416,24,145
13,-360.0,412,0.9369,24,156
14,-346.0,380,0.9322,30,168
15,-110.0,130,0.9276,20,172
16,-366.0,404,0.9229,36,181
17,-427.0,481,0.9183,29,189
18,-391.0,457,0.9137,31,193
19,-419.0,469,0.9092,25,203
20,-552.0,606,0.9046,28,212
21,-435.0,481,0.9001,36,224
22,-396.0,446,0.8956,22,230
23,-421.0,477,0.8911,25,237
24,-1.0,3,0.8867,3,237
25,-416.0,472,0.8822,30,246
26,-375.0,413,0.8778,24,252
27,-409.0,467,0.8734,27,257
28,-421.0,477,0.8691,27,261
29,-449.0,513,0.8647,33,264
30,-356.0,402,0.8604,22,268
31,4.0,2,0.8561,2,268
32,-401.0,449,0.8518,24,274
33,-367.0,413,0.8475,30,277
34,-378.0,434,0.8433,27,286
35,2.0,2,0.8391,3,286
36,-220.0,270,0.8349,30,296
37,-404.0,456,0.8307,27,297
38,-264.0,294,0.8266,27,310
39,4.0,2,0.8224,2,310
40,-415.0,479,0.8183,25,313
41,-173.0,215,0.8142,20,319
42,-308.0,350,0.8102,30,326
43,-250.0,296,0.8061,27,338
44,-406.0,460,0.8021,33,342
45,-510.0,556,0.7981,33,347
46,-302.0,348,0.7941,27,352
47,-307.0,371,0.7901,44,363
48,-374.0,430,0.7862,29,371
49,-407.0,459,0.7822,26,377
50,-413.0,459,0.7783,22,380
51,-448.0,496,0.7744,24,381
52,-257.0,297,0.7705,28,389
53,-473.0,533,0.7667,28,394
54,4.0,2,0.7629,2,394
55,-350.0,394,0.759,27,399
56,-217.0,259,0.7553,28,404
57,-385.0,439,0.7515,24,406
58,-417.0,469,0.7477,28,414
59,-421.0,465,0.744,24,418
60,-359.0,409,0.7403,27,423
61,-217.0,257,0.7366,24,429
62,-292.0,340,0.7329,35,443
63,-370.0,412,0.7292,20,447
64,-391.0,461,0.7256,40,457
65,-326.0,368,0.7219,21,462
66,-455.0,507,0.7183,34,466
67,-389.0,435,0.7147,19,471
68,4.0,0,0.7112,1,471
69,-413.0,459,0.7076,24,474
70,-426.0,482,0.7041,21,475
71,-422.0,466,0.7005,26,478
72,-499.0,551,0.697,27,478
73,-319.0,363,0.6936,32,490
74,-401.0,461,0.6901,26,494
75,-394.0,438,0.6866,27,496
76,-250.0,290,0.6832,23,502
77,-395.0,451,0.6798,35,505
78,-420.0,472,0.6764,26,507
79,-433.0,485,0.673,26,509
80,-462.0,514,0.6696,27,512
81,-394.0,450,0.6663,27,512
82,-422.0,478,0.663,22,514
83,-411.0,473,0.6597,31,516
84,-303.0,347,0.6564,26,526
85,-370.0,442,0.6531,36,531
86,-343.0,395,0.6498,44,541
87,-377.0,427,0.6466,23,546
88,-434.0,480,0.6433,23,551
89,-457.0,511,0.6401,30,554
90,-446.0,494,0.6369,31,559
91,-379.0,431,0.6337,22,563
92,-415.0,459,0.6306,28,566
93,-360.0,408,0.6274,24,567
94,-370.0,424,0.6243,26,573
95,-353.0,405,0.6211,28,582
96,-396.0,454,0.618,26,585
97,-429.0,477,0.6149,28,593
98,-319.0,383,0.6119,25,594
99,-354.0,398,0.6088,23,602
100,-431.0,465,0.6058,22,604
101,-387.0,435,0.6027,19,609
102,-311.0,349,0.5997,21,609
103,-350.0,420,0.5967,27,610
104,-335.0,381,0.5937,26,613
105,-340.0,390,0.5908,21,614
106,-368.0,418,0.5878,31,622
107,-302.0,356,0.5849,25,624
108,-404.0,454,0.582,26,625
109,-372.0,436,0.579,28,627
110,-409.0,469,0.5762,25,627
111,2.0,6,0.5733,3,627
112,-413.0,453,0.5704,29,627
113,2.0,8,0.5676,5,627
114,2.0,8,0.5647,4,627
115,-402.0,460,0.5619,26,630
116,-339.0,387,0.5591,22,634
117,-492.0,538,0.5563,24,635
118,-380.0,428,0.5535,22,637
119,-398.0,448,0.5507,27,640
120,-1.0,5,0.548,5,640
121,-383.0,437,0.5452,27,641
122,1.0,3,0.5425,2,641
123,-376.0,432,0.5398,28,641
124,-56.0,84,0.5371,20,642
125,-335.0,389,0.5344,27,653
126,-399.0,453,0.5318,23,657
127,-371.0,421,0.5291,26,660
128,-401.0,451,0.5264,24,660
129,-421.0,467,0.5238,34,661
130,-314.0,360,0.5212,32,665
131,-367.0,423,0.5186,20,665
132,-294.0,340,0.516,28,669
133,-403.0,455,0.5134,24,670
134,-501.0,551,0.5108,29,673
135,3.0,1,0.5083,2,673
136,-235.0,291,0.5058,21,679
137,-459.0,507,0.5032,21,681
138,-426.0,472,0.5007,22,682
